merchant,category,amt,lat,long,merch_lat,merch_long,hour,day,month,gender,cc_num,is_fraud
CVS,grocery,489.92,48.1852,-113.2746,48.2032,-113.25670000000001,17,31,11,F,7167232949179625,0
7-Eleven,convenience,426.76,39.4914,-98.6696,39.5241,-98.6808,21,5,6,F,2107800928299785,0
CVS,electronics,97.32,27.6024,-123.0369,27.6272,-123.0791,2,8,11,M,7752861319220558,0
Shell,convenience,42.79,26.7672,-111.7405,26.773799999999998,-111.72829999999999,5,15,3,M,3823936399163525,0
Walmart,grocery,336.04,26.8643,-80.0884,26.8958,-80.0645,23,10,10,F,9889480080888997,0
Target,electronics,188.8,41.522,-108.9183,41.5687,-108.9226,14,24,2,F,9139800108034668,0
Walmart,fuel,756.89,32.2424,-117.8532,32.2013,-117.8102,14,24,11,M,2917097161775792,0
Kroger,fuel,695.35,27.8193,-124.124,27.853099999999998,-124.0954,8,19,7,F,3653963974892145,0
Apple Store,pharmacy,736.45,32.1463,-100.9257,32.172999999999995,-100.94420000000001,1,8,10,F,6308714096306998,0
Target,clothing,986.91,25.2604,-90.6403,25.2137,-90.6124,14,13,11,F,8828942578050362,0
Amazon,pharmacy,316.15,33.72,-98.2631,33.737,-98.2315,2,31,7,M,3860588332343425,0
Best Buy,fuel,389.8,33.6085,-122.6046,33.5651,-122.6455,5,18,12,F,3375138528095851,0
Amazon,clothing,867.32,25.0107,-87.2499,24.9666,-87.2166,16,29,3,M,9598195760145649,0
7-Eleven,pharmacy,734.47,48.5251,-92.37,48.5247,-92.4123,17,17,6,M,1918435754947567,0
Walmart,electronics,702.84,32.0536,-75.5094,32.054700000000004,-75.4615,2,25,3,F,5895904238478536,0
CVS,pharmacy,872.12,48.922,-122.9772,48.917899999999996,-123.01689999999999,16,31,2,F,7262610629579835,0
7-Eleven,clothing,44.67,46.8941,-103.9528,46.8923,-104.0004,3,10,9,M,8459995044463931,0
Walmart,clothing,869.84,45.1808,-121.5191,45.1573,-121.54419999999999,0,2,2,M,9017115668079659,0
Amazon,clothing,725.43,48.3373,-97.7625,48.3014,-97.8019,23,29,6,M,9325477819211200,0
eBay,convenience,304.62,32.5644,-106.7245,32.547399999999996,-106.72800000000001,8,20,9,F,3213199796928636,0
Apple Store,grocery,880.47,46.4155,-92.703,46.4412,-92.6863,6,17,10,M,5697334428235269,0
Walmart,clothing,640.31,44.9142,-67.8751,44.9162,-67.82520000000001,13,14,9,F,5270748874432373,1
Walmart,pharmacy,72.04,29.5952,-95.6619,29.6006,-95.67790000000001,0,18,5,F,9465796064642289,0
CVS,fuel,263.64,30.2756,-82.2493,30.2836,-82.22210000000001,8,22,9,F,8971375984504837,0
7-Eleven,convenience,628.76,37.6274,-101.2853,37.641600000000004,-101.25800000000001,8,19,3,M,2534172733535855,0
Apple Store,clothing,705.17,47.0113,-111.9869,47.0406,-111.94600000000001,21,23,3,F,1681519048207960,0
Target,fuel,46.58,42.8574,-96.3319,42.851099999999995,-96.3022,8,26,5,M,1716171230970431,0
CVS,electronics,410.09,42.1333,-97.337,42.105399999999996,-97.3435,5,10,8,M,6763720811137372,0
Shell,fuel,150.53,26.854,-86.4076,26.8933,-86.3708,4,13,7,F,2849196352177996,0
Amazon,electronics,773.45,28.3713,-85.4288,28.379,-85.416,9,14,4,M,7767630484320419,0
Walmart,clothing,310.63,33.9247,-87.5986,33.9226,-87.5644,3,16,5,F,6542122652905335,0
Best Buy,convenience,334.58,28.1297,-121.1606,28.1061,-121.2043,13,8,5,F,5031622094196755,0
Best Buy,grocery,644.26,44.9335,-81.0768,44.9819,-81.10340000000001,3,27,5,M,4922986885197888,0
CVS,electronics,782.62,33.1627,-101.2115,33.1477,-101.2489,7,30,11,M,3500526431193271,0
Apple Store,electronics,676.96,26.5048,-102.5246,26.4999,-102.5643,6,14,9,M,7244819747732368,0
7-Eleven,clothing,867.06,45.3894,-124.148,45.346900000000005,-124.155,17,20,1,M,9854784627849929,0
eBay,clothing,646.69,48.2519,-82.4227,48.2217,-82.37710000000001,13,7,4,F,9895346233601891,0
Apple Store,fuel,935.11,45.3791,-80.521,45.4141,-80.489,21,9,6,M,8409777731444746,0
Target,grocery,807.29,37.4316,-118.8609,37.441,-118.8127,5,27,4,F,2670680538164568,0
7-Eleven,convenience,837.18,25.8397,-109.7666,25.887800000000002,-109.7745,22,9,7,F,4006847402821993,0
Walmart,pharmacy,339.14,34.1681,-117.2403,34.1676,-117.23060000000001,8,18,2,F,9337128620133286,0
Apple Store,grocery,263.88,25.3283,-108.7836,25.331699999999998,-108.7638,9,18,3,M,2477411664474863,0
eBay,convenience,548.03,34.3969,-112.1888,34.4322,-112.1415,17,24,8,M,2195661310748801,0
Kroger,clothing,989.54,25.2068,-94.8606,25.235500000000002,-94.8516,21,7,2,M,7601047560641410,0
Amazon,pharmacy,683.97,39.4792,-99.6212,39.4907,-99.574,1,30,1,F,7311480258294986,1
7-Eleven,fuel,985.94,32.6877,-123.6308,32.6935,-123.62339999999999,9,11,6,M,1626112330571885,0
Apple Store,fuel,931.33,30.463,-76.6395,30.4406,-76.6597,5,27,7,F,4375839990571781,0
Best Buy,convenience,73.57,26.2188,-90.3339,26.178900000000002,-90.3109,13,26,4,F,3329664352159662,0
CVS,electronics,742.6,29.8875,-86.7633,29.9026,-86.805,1,2,6,F,5514165605619330,0
Amazon,grocery,91.13,38.6365,-75.5809,38.6478,-75.5708,10,31,2,F,7462460158386572,0
Best Buy,convenience,801.79,31.5424,-99.4226,31.5656,-99.4644,13,26,4,F,4177242363126835,0
CVS,clothing,47.73,31.4532,-75.8051,31.4656,-75.7821,19,7,6,F,5723339698948073,1
eBay,fuel,75.6,37.4731,-111.0973,37.467,-111.07350000000001,13,27,1,F,1177546314238226,0
Best Buy,convenience,195.8,33.5359,-79.4245,33.5417,-79.44919999999999,5,10,6,F,2969861209183732,1
eBay,clothing,623.92,31.2354,-123.0579,31.2126,-123.01700000000001,7,19,1,M,1067800764812697,0
Target,grocery,153.4,41.7897,-78.0781,41.769000000000005,-78.0575,18,23,5,M,1540156607653104,0
Target,convenience,340.32,47.6044,-90.0109,47.6141,-89.99220000000001,5,21,12,M,6224473720193898,0
Apple Store,electronics,34.08,34.4316,-71.7054,34.394600000000004,-71.7332,7,19,9,M,1238896005181185,0
Best Buy,fuel,884.08,40.8268,-93.6576,40.8277,-93.6449,10,16,8,M,3514479718070720,0
CVS,electronics,829.16,43.4872,-80.6354,43.5297,-80.6841,19,13,5,F,6090981799798303,0
Target,grocery,705.72,34.0497,-95.9873,34.002700000000004,-95.9607,14,27,11,F,9035366484771585,0
Target,clothing,797.81,45.349,-92.0407,45.394,-92.0448,7,21,6,M,2563832924994261,0
Amazon,grocery,419.86,33.6306,-81.3313,33.6237,-81.32,11,24,8,M,6450304463902151,1
Apple Store,electronics,630.67,38.4185,-111.4767,38.455,-111.45139999999999,9,10,11,F,7081766735972002,0
Amazon,pharmacy,193.39,27.8477,-85.496,27.813,-85.4966,13,22,3,F,1350980151998685,0
Amazon,clothing,977.93,31.5969,-114.8688,31.5772,-114.84419999999999,8,27,9,F,7558498318526452,0
Shell,convenience,861.97,44.6265,-78.0757,44.6444,-78.1043,14,17,9,F,2324100909469992,0
Best Buy,electronics,257.84,36.4284,-75.4505,36.4219,-75.4137,19,4,2,F,9979578749092485,0
7-Eleven,grocery,108.1,44.5008,-108.0778,44.541799999999995,-108.1263,22,25,4,F,3230865045521685,0
Best Buy,grocery,884.94,38.197,-75.933,38.148300000000006,-75.95970000000001,2,30,8,M,1784978389208052,0
Shell,clothing,229.01,44.2923,-81.7791,44.3054,-81.7309,1,31,12,F,7970726951595696,0
Shell,grocery,916.29,27.4532,-86.3432,27.4366,-86.36229999999999,17,6,9,M,8149142726253795,0
Apple Store,electronics,358.91,44.1788,-78.6851,44.1578,-78.69210000000001,17,5,2,F,4994648757023506,0
Target,convenience,83.11,35.8981,-76.371,35.8752,-76.35759999999999,19,24,11,M,7878698174340061,0
eBay,pharmacy,11.31,39.345,-85.9046,39.3546,-85.8858,22,23,9,F,6671022853501442,0
Best Buy,pharmacy,396.84,30.291,-117.0551,30.281,-117.0887,13,4,8,M,1913024066572212,0
Apple Store,fuel,595.58,46.118,-95.9984,46.1638,-95.9591,5,7,1,M,4651262282989285,0
Walmart,clothing,229.51,40.988,-90.2007,40.943599999999996,-90.157,11,22,12,F,2087706479697632,0
CVS,clothing,794.03,35.849,-90.0599,35.8737,-90.012,11,27,1,F,5595434384534453,0
Best Buy,clothing,636.62,40.4406,-98.4326,40.442,-98.4772,9,10,1,M,3607522589184949,0
Apple Store,fuel,641.24,44.4619,-91.2491,44.4373,-91.2847,9,19,2,F,6832216587843147,0
Amazon,clothing,831.98,31.9135,-76.5646,31.8753,-76.5629,20,23,3,F,6121940513375408,0
Best Buy,pharmacy,737.22,31.1466,-110.022,31.1721,-110.0537,21,27,7,M,2970079351517362,0
7-Eleven,pharmacy,249.54,46.5929,-84.9016,46.6312,-84.86710000000001,3,12,9,M,1031505322684392,0
Shell,fuel,780.35,32.1876,-84.9189,32.216,-84.9382,8,13,9,M,7584049543942421,0
Kroger,grocery,74.59,37.618,-78.5672,37.618700000000004,-78.5554,7,29,2,M,7888505588676456,0
Apple Store,convenience,388.11,31.8423,-91.0113,31.8394,-90.99210000000001,22,23,6,M,2638281373610475,0
Apple Store,grocery,7.41,25.6662,-99.8686,25.6325,-99.8646,21,25,11,F,1456461077153929,0
CVS,grocery,97.48,30.7949,-96.6531,30.8327,-96.64909999999999,3,14,4,M,6317894519897261,0
Target,electronics,371.45,38.5234,-112.5513,38.5064,-112.5067,12,17,6,F,1391512300485174,0
CVS,convenience,641.19,32.4692,-111.0014,32.435,-110.9525,20,1,1,M,4220059803456239,0
Shell,electronics,111.67,34.6041,-112.3714,34.579100000000004,-112.40379999999999,10,24,5,F,7067793550903991,0
CVS,electronics,263.2,42.5331,-85.2277,42.5058,-85.1781,23,14,4,F,8570543236555730,0
Amazon,grocery,212.78,37.9799,-79.3441,37.9759,-79.3647,21,23,7,F,5905869188819229,0
CVS,convenience,48.9,29.1851,-98.0699,29.1818,-98.0479,1,6,5,F,5164374817880303,0
7-Eleven,convenience,497.1,29.7899,-116.3284,29.8186,-116.2972,13,20,4,F,6364444933540150,1
Apple Store,clothing,569.07,26.2081,-76.7769,26.222600000000003,-76.7855,0,22,4,M,7828715271312166,0
eBay,fuel,509.72,37.3419,-120.5522,37.2928,-120.5256,18,22,12,M,9845652074908898,0
Target,fuel,419.6,43.0859,-111.6413,43.0534,-111.5934,14,23,3,F,9376700258542842,0
CVS,pharmacy,642.28,25.1221,-69.3475,25.116,-69.3373,23,11,8,F,1200441747498874,1
eBay,convenience,513.06,47.9532,-120.6559,47.9459,-120.69160000000001,14,9,11,M,9604658382137393,0
Shell,clothing,761.66,45.7826,-76.1448,45.7999,-76.116,7,19,2,F,5008809850425048,0
Amazon,fuel,494.92,33.4886,-122.5721,33.455,-122.54090000000001,18,26,6,M,9700382965176634,0
7-Eleven,clothing,455.88,48.5178,-83.1741,48.5267,-83.1315,7,6,2,M,4466618606909424,0
Walmart,convenience,299.55,35.5634,-103.2163,35.5884,-103.1722,2,8,12,F,2076855510069537,0
CVS,pharmacy,160.23,43.3732,-76.5917,43.4144,-76.6109,9,11,5,M,7353495088765786,0
Amazon,clothing,944.33,30.1656,-113.1151,30.1674,-113.10889999999999,5,22,6,F,2573728338141586,0
Shell,grocery,307.65,38.0745,-85.3994,38.0496,-85.401,4,21,9,M,9803397415178815,0
7-Eleven,grocery,32.19,48.8246,-79.8856,48.7904,-79.9297,15,19,2,F,2789111858234532,0
7-Eleven,grocery,843.84,30.9711,-79.6763,30.9465,-79.6563,21,31,9,F,2642206213693085,0
Target,clothing,446.03,39.5259,-84.428,39.4999,-84.4339,22,21,3,F,1876477580616152,0
Best Buy,clothing,430.1,41.0942,-102.0631,41.056400000000004,-102.08470000000001,8,28,5,F,5223757750735095,1
7-Eleven,clothing,108.91,26.6054,-81.0981,26.578,-81.0928,22,5,5,F,5685262804256727,0
Best Buy,fuel,241.23,32.3506,-91.6937,32.3763,-91.6855,2,3,8,F,4765580817512057,0
Target,grocery,24.07,38.9056,-106.9227,38.8602,-106.9225,16,19,6,M,6970704189423769,0
Amazon,electronics,343.32,32.0236,-80.5977,31.983400000000003,-80.63300000000001,2,31,4,M,2253868162135501,0
Walmart,fuel,220.99,36.4487,-67.3398,36.407900000000005,-67.3691,0,14,2,F,5369014544518576,0
Kroger,clothing,30.44,35.9628,-120.3871,35.9993,-120.3666,14,13,4,M,5106555339885444,0
Best Buy,grocery,934.24,26.2461,-71.6479,26.246299999999998,-71.67550000000001,16,19,7,F,2582621652983160,0
Best Buy,electronics,483.56,48.089,-93.655,48.1094,-93.6858,4,24,10,M,4833021401831551,0
Shell,fuel,150.95,31.122,-90.0287,31.0883,-90.0492,3,24,3,F,2792846294119096,0
Target,convenience,409.59,39.6991,-100.678,39.725100000000005,-100.6722,19,4,7,F,8426272371918021,0
Kroger,grocery,41.28,38.914,-74.2599,38.8664,-74.2522,6,13,3,M,6867813324517009,0
7-Eleven,electronics,955.58,28.6073,-84.8927,28.655199999999997,-84.87310000000001,1,4,9,F,5591727202615938,0
eBay,convenience,804.16,38.9536,-91.5221,38.9074,-91.485,21,29,12,F,7164134017569889,1
Kroger,electronics,339.97,47.2608,-68.0631,47.2308,-68.04990000000001,18,16,7,M,8244677509237044,0
eBay,clothing,982.23,47.219,-97.7173,47.1819,-97.69109999999999,21,27,7,M,4499827468879636,1
CVS,convenience,138.24,25.4355,-86.6203,25.418300000000002,-86.5722,7,8,9,M,1691161395952618,0
Kroger,pharmacy,580.19,33.2742,-106.7445,33.254400000000004,-106.7525,14,1,10,F,3632032286599990,0
eBay,convenience,354.47,44.0505,-105.9359,44.0407,-105.9008,14,30,7,F,5406959280870338,0
7-Eleven,electronics,408.4,28.2903,-97.8104,28.2461,-97.7769,10,13,1,M,1048861734498755,0
Target,pharmacy,263.26,30.2701,-124.2835,30.2729,-124.2902,9,15,4,M,5080142478740243,0
Shell,clothing,220.65,26.4242,-102.7667,26.4562,-102.7324,10,31,12,F,6849674054186782,0
Target,grocery,967.89,33.6362,-77.1501,33.6492,-77.19959999999999,18,19,6,M,1730276968502168,0
Best Buy,clothing,67.74,36.4198,-93.0772,36.4578,-93.071,8,28,9,F,9343091363180728,0
Best Buy,convenience,538.73,48.5673,-81.0438,48.5854,-81.0738,10,23,12,M,4025567238434647,0
Shell,grocery,376.9,33.3819,-106.6854,33.3858,-106.6439,0,31,11,M,8497720664557903,0
Apple Store,clothing,119.55,37.2643,-120.2077,37.2153,-120.1892,7,30,6,M,2062551398399509,0
7-Eleven,pharmacy,272.26,43.5668,-110.4025,43.5999,-110.4017,7,7,6,M,6497390432195440,0
Amazon,convenience,363.73,35.8965,-89.2391,35.907900000000005,-89.2113,10,4,1,M,2619663674148257,0
Amazon,electronics,888.21,36.8121,-123.8739,36.7751,-123.9038,22,26,4,F,8465865361397165,0
CVS,fuel,358.86,35.9772,-115.9508,35.9538,-115.9173,20,15,10,M,3884519747656151,0
Apple Store,clothing,366.23,34.6291,-71.6072,34.652300000000004,-71.6033,17,17,10,F,9217977251034196,1
CVS,electronics,225.69,29.7665,-119.4994,29.816100000000002,-119.5101,16,7,1,F,6645043235464904,0
Kroger,clothing,922.16,47.6883,-76.5444,47.7142,-76.585,22,6,5,F,7680580890026234,0
Shell,convenience,907.28,28.4904,-94.5951,28.5085,-94.6139,17,29,4,F,9416881347523586,0
Walmart,clothing,434.79,35.9766,-105.7932,35.9666,-105.7657,6,3,2,M,6527131838949006,0
Walmart,grocery,140.89,32.0394,-111.645,32.001,-111.6443,8,19,12,M,9925068791504179,0
Apple Store,clothing,313.77,30.619,-89.675,30.6659,-89.6938,13,13,5,F,1571310769857109,0
Apple Store,pharmacy,563.17,29.703,-75.4667,29.7192,-75.4605,6,13,2,M,2646910965221096,1
Amazon,grocery,21.56,40.1527,-90.231,40.170300000000005,-90.1938,8,8,2,F,6061090858532133,0
Walmart,convenience,280.24,43.6175,-105.6696,43.5711,-105.6219,13,16,12,F,3489594574136950,0
CVS,fuel,254.56,42.1964,-88.5246,42.1476,-88.5018,15,9,12,M,4166539195813244,0
7-Eleven,electronics,350.23,33.3933,-80.3154,33.3873,-80.2957,0,12,6,M,8798816437125568,0
Best Buy,grocery,852.35,46.0499,-115.0995,46.0453,-115.0853,11,17,4,F,6644358601363971,0
Amazon,clothing,744.54,39.4842,-89.6796,39.4897,-89.65849999999999,1,21,7,F,2065279028575481,0
Kroger,clothing,714.7,46.2961,-86.2893,46.3391,-86.27459999999999,16,12,6,M,2631835256956063,0
eBay,convenience,616.9,27.0736,-115.2779,27.034499999999998,-115.2413,13,6,10,M,5916964006481012,0
Best Buy,fuel,689.58,26.3928,-108.7493,26.354200000000002,-108.75250000000001,4,10,5,M,5763327955017666,0
Shell,fuel,187.25,47.3118,-66.0131,47.270399999999995,-65.98479999999999,14,23,11,F,3418337678001262,0
CVS,clothing,653.64,30.7538,-90.4866,30.7596,-90.4892,8,18,7,F,4835887106571006,1
Best Buy,clothing,436.39,38.0389,-103.0499,38.056599999999996,-103.0576,6,22,10,F,4627701160193934,0
Target,grocery,198.43,40.5331,-112.92,40.5618,-112.891,9,25,9,M,1239651824938271,0
Amazon,electronics,885.2,37.2382,-108.814,37.2331,-108.76499999999999,23,26,6,M,2220904453654019,0
Walmart,pharmacy,850.11,41.2701,-107.9616,41.2468,-107.9199,15,14,1,F,3093915136604766,0
CVS,fuel,41.33,26.973,-101.9667,26.9468,-101.9869,2,29,3,M,5559629960519669,0
CVS,pharmacy,34.93,31.6473,-68.2496,31.666,-68.2624,22,14,4,F,4450147866439846,0
Kroger,pharmacy,714.39,33.2899,-76.9956,33.3188,-77.018,0,13,12,M,8207072404182755,0
Shell,pharmacy,104.86,44.6959,-82.3389,44.7389,-82.3077,20,11,2,F,4737482374247800,0
7-Eleven,convenience,289.06,39.495,-67.9921,39.510799999999996,-68.0285,11,19,4,M,9025790143896338,0
Target,clothing,392.95,40.3803,-97.0239,40.341,-97.0486,2,24,12,M,3774618103153162,0
Target,fuel,352.2,46.0672,-89.0829,46.0873,-89.0933,23,9,8,M,1398982458945801,0
Amazon,fuel,693.03,39.9914,-101.2357,40.010799999999996,-101.2849,5,17,3,F,7341604410777392,0
Best Buy,fuel,751.89,32.8575,-108.4794,32.844500000000004,-108.4378,15,1,11,M,9470240555165549,0
Walmart,clothing,100.79,42.1615,-100.2441,42.146499999999996,-100.26820000000001,21,23,5,F,5567050076346166,0
Target,pharmacy,668.16,29.5661,-107.5333,29.5708,-107.5542,11,7,8,F,4204966144005601,0
Walmart,clothing,396.68,47.0002,-99.7692,46.9827,-99.7607,18,17,1,M,6800368433371796,0
Best Buy,pharmacy,528.53,32.5112,-67.8207,32.5484,-67.8292,3,19,10,F,7059986625631963,0
Shell,fuel,205.93,43.452,-78.3402,43.4783,-78.3534,15,9,11,F,9468965404496858,0
Walmart,fuel,281.37,46.5112,-116.4466,46.472,-116.4649,22,10,1,F,5938688428128860,0
CVS,electronics,935.41,46.2634,-114.8924,46.250699999999995,-114.86479999999999,10,14,12,M,1679308326764708,0
Walmart,pharmacy,590.27,42.5265,-73.8096,42.4872,-73.78620000000001,8,14,2,M,4765086181281704,0
eBay,convenience,700.96,46.3136,-87.2192,46.356300000000005,-87.23910000000001,21,12,12,F,4657751621249770,1
eBay,fuel,955.31,36.6093,-115.1993,36.6275,-115.2057,0,5,11,F,7944126366972519,0
Amazon,grocery,937.19,34.6649,-102.086,34.6174,-102.1241,0,12,6,F,6262971920850747,0
Kroger,fuel,333.53,41.9767,-102.4521,41.9365,-102.4966,9,22,2,F,8560721809958638,0
Shell,fuel,992.12,43.4184,-80.3171,43.421,-80.2846,20,17,5,M,3147460165000199,0
Best Buy,fuel,509.43,40.638,-87.1876,40.6701,-87.2316,0,1,4,F,6877162793101757,0
Walmart,electronics,29.95,38.3849,-85.4657,38.354800000000004,-85.4888,12,2,1,F,8529772928959992,1
Apple Store,fuel,407.53,35.4907,-73.9104,35.519,-73.9166,13,28,11,M,3064384362746274,1
7-Eleven,pharmacy,271.93,25.3983,-69.6309,25.4348,-69.6574,8,19,4,F,4407264117545668,0
Walmart,convenience,213.36,28.7998,-115.9703,28.7683,-115.96709999999999,4,18,8,M,4248408457899081,0
Kroger,electronics,389.97,39.7192,-124.0018,39.7385,-124.0515,23,21,1,M,4930732261722772,0
Apple Store,convenience,220.22,35.5983,-116.1677,35.5897,-116.1771,6,12,2,M,7509457996126919,0
Best Buy,clothing,46.74,31.5847,-78.0338,31.610500000000002,-77.9866,12,6,8,M,2365477644983388,0
CVS,clothing,831.31,31.1841,-106.1204,31.2163,-106.1431,20,5,1,M,6513747123865697,0
Walmart,convenience,172.6,43.0412,-109.4763,43.0733,-109.44579999999999,16,11,4,M,5317972273217701,0
Amazon,grocery,646.86,45.2065,-103.5617,45.1918,-103.5484,22,19,3,M,1036194772337054,0
Walmart,fuel,183.25,40.3597,-120.7832,40.31229999999999,-120.81099999999999,13,10,8,F,2679865483613212,0
7-Eleven,convenience,595.84,27.4657,-86.9615,27.491999999999997,-86.9425,16,23,9,F,2529111282301546,0
7-Eleven,electronics,195.67,38.1419,-103.7808,38.1314,-103.78829999999999,19,24,3,F,6035097975221697,0
Target,convenience,158.2,27.032,-95.8458,27.0329,-95.8656,18,22,5,F,1829672054656982,0
7-Eleven,pharmacy,70.51,45.1444,-116.9108,45.0969,-116.91629999999999,4,4,8,M,9761482429426679,0
Amazon,pharmacy,50.73,29.9038,-77.1045,29.9236,-77.0679,10,16,7,M,8324224024290031,0
Amazon,fuel,198.57,35.4128,-104.472,35.453199999999995,-104.4601,1,15,11,F,2271263851132174,0
Best Buy,clothing,965.98,42.2207,-123.0721,42.186,-123.1115,12,17,8,M,2312542162264384,0
Shell,convenience,286.66,25.4097,-120.0447,25.4112,-120.0537,21,6,5,M,9553174365401082,0
CVS,electronics,568.75,46.1958,-80.8853,46.231899999999996,-80.8911,8,3,12,F,2971278728692518,0
Walmart,grocery,902.48,42.2005,-113.9963,42.230199999999996,-114.0,8,15,7,F,4824901627742637,0
Amazon,grocery,521.66,39.0029,-103.3741,38.984399999999994,-103.396,21,2,1,M,7650140811974309,0
7-Eleven,clothing,156.82,42.1382,-76.2443,42.175599999999996,-76.2445,0,20,9,M,4551568181241134,0
Amazon,convenience,304.37,40.8379,-120.5941,40.836,-120.6063,15,23,6,M,8013735101178239,0
Amazon,convenience,799.93,40.5475,-75.0959,40.528,-75.12650000000001,13,22,1,M,2468070096761065,0
Target,clothing,606.41,31.9839,-119.1184,31.9804,-119.1621,0,16,4,M,3947490472512220,1
Amazon,pharmacy,984.7,47.6326,-96.2906,47.641099999999994,-96.2649,23,15,4,F,9952407505354885,1
Apple Store,electronics,62.22,31.701,-75.8,31.7087,-75.7747,6,4,8,M,8710515183158496,0
Target,convenience,547.65,36.9165,-72.7952,36.9599,-72.8385,12,29,9,M,5665703848557788,0
CVS,pharmacy,979.17,25.1507,-114.4723,25.1702,-114.44290000000001,23,28,10,M,6561434305625389,0
Walmart,grocery,233.95,48.6918,-121.7706,48.6697,-121.7308,7,11,5,F,6126910656412529,0
Apple Store,convenience,878.98,44.9738,-87.5822,44.939899999999994,-87.6081,0,7,12,M,8403200509007816,0
Walmart,convenience,629.84,40.0038,-77.3232,40.014199999999995,-77.2921,10,15,7,M,8917265453977674,0
eBay,clothing,272.09,42.1572,-69.9547,42.119,-69.9192,18,19,11,F,5290403541766887,1
7-Eleven,electronics,194.15,47.4477,-116.9852,47.427,-116.99440000000001,5,9,6,F,7892591137017320,0
eBay,convenience,388.2,41.4233,-123.4146,41.402499999999996,-123.3723,4,20,7,F,3444234818835214,0
Walmart,pharmacy,513.63,30.734,-89.0199,30.781200000000002,-89.05290000000001,16,14,2,F,1673997530004408,0
eBay,pharmacy,279.64,33.4508,-79.9416,33.4186,-79.957,23,5,2,F,9533366012933260,0
CVS,convenience,788.99,33.0926,-119.2015,33.0546,-119.2281,10,25,1,M,2360588529143310,0
7-Eleven,pharmacy,715.58,45.4201,-70.2393,45.463,-70.2458,21,16,12,M,8735195094859297,0
Best Buy,convenience,981.07,35.5446,-92.8473,35.507200000000005,-92.8936,5,8,4,F,4600917440789757,0
7-Eleven,fuel,815.85,46.4585,-66.9792,46.4295,-67.028,18,5,1,M,8043120797285217,0
Amazon,clothing,77.91,47.6919,-92.697,47.71319999999999,-92.71940000000001,22,30,7,F,1928190239576608,0
Walmart,fuel,618.14,29.648,-87.3875,29.6515,-87.3535,22,25,1,M,3151552398355898,0
Kroger,clothing,972.11,39.2088,-100.2013,39.2241,-100.227,6,16,11,M,3545605645119967,0
7-Eleven,convenience,321.62,34.7684,-107.8606,34.7811,-107.9021,19,26,10,F,8285342991111608,0
Shell,fuel,6.99,48.388,-107.8364,48.411899999999996,-107.8553,5,11,10,F,5157947981325958,1
CVS,pharmacy,238.48,46.4104,-115.8928,46.3755,-115.9157,4,18,11,M,8389261888450449,0
Shell,pharmacy,644.02,32.9904,-98.1831,33.010600000000004,-98.13839999999999,7,4,11,F,1698411664840289,0
Amazon,electronics,784.02,26.7536,-86.3645,26.7286,-86.39120000000001,18,30,5,F,9374518469407131,0
Kroger,convenience,787.22,26.4723,-93.6571,26.505200000000002,-93.6954,18,18,3,F,5395313583862305,0
eBay,convenience,723.16,31.5569,-78.1293,31.523799999999998,-78.10810000000001,4,16,7,F,3592398553334822,0
Amazon,grocery,557.18,48.3608,-108.3829,48.331399999999995,-108.42710000000001,14,28,12,M,6595954181247902,1
Walmart,grocery,250.56,39.3416,-68.1265,39.2922,-68.09039999999999,14,4,9,F,9654868803939793,0
Walmart,electronics,756.84,25.1434,-67.3196,25.16,-67.3625,7,14,11,F,5568415448744096,0
7-Eleven,convenience,632.01,43.4281,-73.9712,43.4596,-74.0148,5,6,2,F,7010145807393848,0
7-Eleven,pharmacy,541.42,35.0822,-74.7412,35.0789,-74.7407,15,25,12,F,2325411183856878,0
Kroger,fuel,793.22,38.8021,-107.2101,38.757400000000004,-107.1806,14,18,10,F,4559634532075641,0
Shell,clothing,447.09,30.2387,-86.6859,30.257800000000003,-86.7333,19,22,7,F,7688634781687328,0
Shell,electronics,541.45,35.9191,-98.2258,35.8771,-98.1967,6,8,2,F,7383348859960848,0
7-Eleven,convenience,512.78,45.3675,-109.2045,45.3351,-109.2119,17,25,11,M,7656047158973244,0
Best Buy,electronics,144.67,30.4618,-113.0173,30.4318,-113.02420000000001,18,7,6,F,3673420280581740,0
Amazon,convenience,39.9,33.3643,-98.0617,33.3594,-98.0531,10,7,7,F,8278148784880493,0
eBay,clothing,449.23,39.8865,-107.0604,39.901599999999995,-107.0327,6,8,7,F,3997785453693993,0
Walmart,electronics,68.42,33.4112,-89.5978,33.4272,-89.62610000000001,18,10,7,M,7283491237140741,0
Shell,electronics,95.92,42.2572,-101.512,42.245599999999996,-101.5196,7,19,7,M,9443970321593635,0
eBay,grocery,695.46,32.1076,-123.5717,32.129999999999995,-123.56800000000001,17,31,11,M,8918235255375917,1
Apple Store,clothing,399.88,42.8013,-96.8332,42.8005,-96.8361,18,18,4,F,4686779614891407,0
Kroger,clothing,837.84,31.7999,-119.0834,31.767500000000002,-119.1232,21,18,10,F,5571174394847232,0
Best Buy,clothing,46.12,41.2208,-68.6217,41.265299999999996,-68.6057,10,14,11,F,6297569410495219,1
Shell,fuel,162.93,31.4795,-70.5141,31.4322,-70.5087,9,27,3,M,4353051597903861,1
Shell,clothing,971.37,40.1777,-88.9891,40.1432,-88.95639999999999,4,30,9,M,6952965626934954,0
